id,title,abstract,agent1-rater1,agent1-rater2,agent1-rater3,agent2-rater1,agent2-rater2,agent2-rater3,agent3-rater1,agent3-rater2,agent3-rater3,reviewer1,reviewer2,gold standard
#3084,Efficacy and safety of abdominal acupuncture for insomnia: A protocol of systematic review and meta-analysis,"BACKGROUND: Insomnia is characterized by high incidence, easy recurrence, and difficulty in curing. Serious insomnia not only seriously affects the body organ function, but psychological patients also cause great damage. Abdominal acupuncture (AA) has fewer side effects and is increasingly used to treat insomnia. This study aimed to systematically review the effectiveness and safety of abdominal acupuncture in the treatment of insomnia. METHODS: Literature on abdominal acupuncture for insomnia in the PubMed, Excerpt Medica Database(Embase), Cochrane Central Register of Controlled Trials, Web of Science, China National Knowledge Infrastructure Database, China Biomedical Literature Database, Chinese Scientific Journal Database, and Wan Fang databases were searched from the creation of these databases to October 3, 2021. In addition, the reference lists of studies meeting the inclusion criteria will also be searched to achieve a comprehensive retrieval of the maximum. All randomized controlled trials of AA for treating insomnia were included. Two reviewers will conduct literature screening, data extraction, and quality evaluation respectively. The main outcome was the Pittsburgh Sleep Quality Index, and the secondary outcomes included clinical efficacy and safety. RevMan 5.4.1 software was used for mate analysis. RESULTS: This study aimed to evaluate the current status of AA treatment for insomnia, with the aim of illustrating the effectiveness and safety of abdominal acupuncture. CONCLUSION: This study will provide high-quality evidence to evaluate the effectiveness and safety of AA in treating insomnia.Registration: INPLASY2021100088.",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
#3091,Acupuncture for insomnia after stroke: a systematic review and meta-analysis,"BACKGROUND: Insomnia is the common complaint among patients with stroke. Acupuncture has increasingly been used for insomnia relief after stroke. The aim of the present study was to summarize and evaluate evidence on the effectiveness of acupuncture in relieving insomnia after stroke. METHODS: Seven databases were searched from inception through October 2014 without language restrictions. Randomized controlled trials (RCTs) were included if acupuncture was compared to placebo or other conventional therapy for treatment of insomnia after stroke. Assessments were performed using the Pittsburgh sleep quality index (PSQI), the insomnia severity index (ISI), the Athens insomnia scale (AIS), and the efficacy standards of Chinese medicine. RESULTS: A total of 165 studies were identified; 13 RCTs met our inclusion criteria. Meta-analysis showed that acupuncture appeared to be more effective than drugs for treatment of insomnia after stroke, as assessed by the PSQI (weighted mean difference, 4.31; 95 % confidence interval [CI], 1.67-6.95; P = 0.001) and by the efficacy standards of Chinese medicine (risk ratio, 1.25; 95 % CI, 1.12-1.40; P < 0.001). Intradermal acupuncture had significant effects compared with sham acupuncture, as assessed by the ISI (weighted mean difference, 4.44; 95 % CI, 2.75-6.13; P < 0.001) and the AIS (weighted mean difference, 3.64; 95 % CI, 2.28-5.00; P < 0.001). CONCLUSIONS: Our results suggest that acupuncture could be effective for treating insomnia after stroke. However, further studies are needed to confirm the role of acupuncture in the treatment of this disorder.",No,No,No,No,No,No,No,No,No,No,No,No
#3120,Electroacupuncture for patients with irritable bowel syndrome: A systematic review and meta-analysis protocol,"BACKGROUND: Irritable bowel syndrome (IBS) is a common functional intestinal disease characterized by chronic or recurrent abdominal pain, abdominal distension, constipation and diarrhea. Many IBS sufferers are usually present with poor quality of life for the abdominal discomfort, diarrhea, constipation, and other complaints. At present, the commonly used drug therapy for IBS in the Western clinic, such as antidiarrheal, laxative, gastrointestinal antispasmodic, often cannot get satisfying curative effect. Thus complementary therapies like electroacupuncture (EA) which may be effective to decrease patients' pain and fewer side-effects will be sought. EA, an innovative form of traditional acupuncture, is drawing more attention to the treatment of IBS due to its roles in symptom improvement. This systematic review protocol aims at describing a meta-analysis to critically evaluate the effectiveness and safety on EA for patients with IBS. METHODS: We search Ovid MEDLINE, Ovid Embase, PubMed, the Cochrane Central Register of Controlled Trials (Cochrane Library), the Allied and Complementary Medicine Databases (AMED), China National Knowledge Infrastructure (CNKI) for random controlled trials EA for IBS from their inception to April 1, 2018. Two reviewers will independently screen studies for data extraction and assess the quality and risk of bias. RevManV5. 3 will be applied to data extraction. Risk of bias for each RCT will be assessed according to criteria by the Cochrane Handbook to evaluate the methodological quality. RESULTS: This study will provide a high-quality synthesis of current evidence of effectiveness and safety on EA for patients with IBS. CONCLUSION: The conclusion of our systematic review will provide evidence to judge whether EA is an effective intervention for patient with IBS. PROSPERO REGISTRATION NUMBER: PROSPERO CRD42018081610.",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
#3176,"Efficacy and Safety of Acupuncture at Sensitized Acupoints for Knee Osteoarthritis: Protocol for a Multicenter, Single-Blind Randomized Controlled Trial","BACKGROUND: Knee osteoarthritis (KOA) is a prevalent osteoarthritic disorder. Although acupuncture is increasingly used in clinical practice for KOA management, its efficacy remains to be further optimized. OBJECTIVE: This trial aims to evaluate the efficacy and safety of acupuncture at sensitized acupoints for the treatment of KOA. METHODS: We will recruit 350 patients diagnosed with KOA from 3 clinical centers in this single-blind, sham-controlled, randomized controlled trial. Participants will be randomized to receive either acupuncture at 5 high-probability sensitized acupoints or sham acupuncture with nonpenetrative needling using Takakura acupuncture simulation devices. Both groups will receive 24 sessions over 8 weeks, followed by a 16-week posttreatment follow-up period. The primary outcome is the proportion of responders, defined as a reduction of 2 or more points in the Numeric Rating Scale score at week 8. Secondary outcomes include changes in scores on validated scales for KOA severity, walking distance, disability, depression, anxiety, insomnia, and pain self-efficacy. Adverse events will be documented for safety evaluation. RESULTS: The first participant was enrolled on February 15, 2025, and by June 28, 2025, we had enrolled 25 patients. Data analysis has not yet been initiated. The completion of data collection is anticipated by March 2026. CONCLUSIONS: This trial aims to provide confirmatory and exploratory evidence regarding the efficacy and safety of sensitized acupoint-based acupuncture for treating KOA. If the hypothesized benefits are substantiated, sensitized acupoint-based acupuncture could emerge as a complementary and alternative therapy for KOA, potentially reducing reliance on medication and mitigating drug-related adverse effects. TRIAL REGISTRATION: ClinicalTrials.gov NCT06805188; https://clinicaltrials.gov/study/NCT06805188. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): DERR1-10.2196/77336.",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
#3177,Moxibustion for treating knee osteoarthritis: A protocol for systematic review and meta analysis,"BACKGROUND: Knee osteoarthritis (KOA) is a significant health issue because it causes pain and functional limitation. Many studies have reported that moxibustion, a treatment in traditional Chinese medicine, is effective in treating KOA. The aim of this overview is to synthesize and assess the reliability of evidence generated from these systematic reviews of the effectiveness of moxibusition for KOA. METHODS: This is a protocol for a systematic overview of reviews. We will search 7 databases: PubMed, Embase, Cochrane Library, Chinese Biomedical Literatures Database, China National Knowledge Infrastructure, WangFang Database, Chinese Scientific Journal Database from their inception to April 2020. We will consider systematic reviews and meta-analysis of randomized controlled trials evaluating the effectiveness of moxibustion for KOA. Independent reviewers will sift, perform data extraction in duplicate, and assess the quality of the reviews using the Change MeaSurement Tool to Assess Systematic Reviews-2 to Assessment of Multiple Systematic Reviews-2 and the Preferred Reporting Item for Systematic Review and Meta-Analysis statement. The outcomes of interest include: quality of life, knee function, and pain relief outcomes prioritized in the individual reviews. The evidence will be synthesized where appropriate by patient subgroups, intervention type, context, and outcome. Revman 5.3 software will be used to conduct meta-analysis and calculate the risk ratio for dichotomous data. Weighted mean difference or standard mean difference will be calculated for continuous data. The quality of evidence was assessed according to Grades of Recommendation, Assessment, Development, and Evaluation (GRADE) considering the methodological quality of the randomized controlled trials and meta-analysis. RESULTS: The results of this study will be published in a peer-reviewed journal. CONCLUSIONS: We expect to compile evidence from multiple systematic reviews of symptomatic improvement in patients with KOA in an accessible and useful document. TRIAL REGISTRATION NUMBER: CRD42019141029 in PROSPERO 2019.",No,No,No,No,No,No,No,No,No,No,No,No
#3183,The efficacy and safety of auricular point pressing therapy for knee osteoarthritis: A protocol for systematic review and meta-analysis,"BACKGROUND: Knee osteoarthritis (KOA) is one of the leading causes of disability. The effectiveness of auricular point pressing therapy for treating KOA remains controversial. This protocol describes the method of a systematic review and meta-analysis evaluating the effectiveness and safety of auricular point pressing therapy for treating KOA. METHODS: Four English databases (PubMed, Embase, Cochrane Library databases and Web of Science) and 4 Chinese databases (China National Knowledge Infrastructure, Chinese Biomedical Literature Database, VIP Database for Chinese Technical Periodicals, and Wanfang) will be searched. All randomized controlled trials related to auricular point pressing therapy for KOA will be included. Extracted data will include publication details, basic information, demographic data, intervention details and patient outcomes. The primary outcome will be Western Ontario and McMaster Universities Osteoarthritis Index and visual analogue scale. Risk of bias will be assessed using the Cochrane Collaboration tool for assessing risk of bias. Article selection, data extraction and risk of bias assessment will be performed by 2 independent reviewers. If the meta-analysis is precluded, we will conduct a descriptive synthesis using a best-evidence synthesis approach. The strength of recommendations and quality of evidence will be assessed using the Grading of Recommendations Assessment Development. RESULTS: The systematic review will provide evidence to assess the efficacy and safety of auricular point pressing therapy on KOA. CONCLUSION: The systematic review will provide evidence to assess the efficacy and safety of auricular point pressing therapy for KOA patients. ETHICS AND DISSEMINATION: For this review, ethical approval is not required. Patients will not be involved. The findings will be published in a peer-reviewed journal. INPLASY REGISTRATION NUMBER: INPLASY 202220077.",No,No,No,No,No,No,No,No,No,No,No,No
#3213,Acupuncture for patients recovering from lacunar infarction: A protocol for systematic review and meta-analysis,"BACKGROUND: Lacunar infarction (LI) is the mild type in the classification of ischemic stroke, mostly occurs in the middle-aged and elderly, with mild hemiplegia and partial sensory disorder as the main manifestations. In the treatment of LI, acupuncture is often regarded as dominant therapy in the convalescence period. However, acupuncture for treatment of LI in the recovery period lacks high-quality reports and evidence-based medical evidence. Thus, we aim to evaluate the curative effect and safety of acupuncture for LI objectively. METHODS: Pubmed, Cochrane Library, Web of Science, EBSCO, Springer, China National Knowledge Infrastructure, Chinese Scientific and Technical Journals Database (VIP), Wan-fang Database, Chinese Biomedical Literature Database, Chinese Science Citation Database, and other electronic databases will be retrieved from the inception to May, 2021. Randomized controlled trials related to this subject will be searched. The inclusion criteria are established and a detailed literature search strategy is designed through discussion. Article retrieval, screening, excluding repetitive studies, assessment of quality, and data processing will be conducted by 2 reviewers independently using EndNote (X9) and Review Manager (5.3.5). The outcome measures include primary outcome measures (total effective rate, National Institute of Health Stroke Scale score, and Fugl-Meyer Assessment score), secondary outcome measures (blood pressure, plasma glucose, and blood lipid), and safety outcome measures. We will perform a meta-analysis, descriptive analysis, and subgroup analysis based on data conditions. RESULTS: The study of total effective rate, National Institute of Health Stroke Scale score, Fugl-Meyer Assessment score, blood pressure, plasma glucose, blood lipid, and adverse effects will provide evidenced outcome for high-quality synthesis and descriptive analysis. CONCLUSION: This systematic review will kindly provide evidence of whether acupuncture is an effective and safe intervention for LI in the recovery period. INPLASY REGISTRATION NUMBER: INPLASY202150060 (DOI:10.37766/inplasy2021.5.0060).",No,Yes,Yes,No,No,No,No,No,No,No,No,No
#3232,Active Ear Acupuncture Points in Neonates: Initial Results in a New Research Field,"Background: Little is known about active ear acupuncture points (EAP) in neonates. Previous unblinded studies by Stähler van Amerongen et al. showed that neonates have detectable active EAP, and that sick neonates could have more EAP relative to healthy neonates. EAP was investigated in an unblinded trial involving neonates with neonatal abstinence syndrome (NAS). Furthermore, a blinded, controlled observational trial was conducted to compare active EAP present in healthy neonates with EAP of sick neonates. Materials and Methods: An electrical point search device (PS3, Silberbauer, Vienna, Austria) was used to detect EAP. Active EAP were detected with an integrated optical and acoustical signal, and readings were transferred to a standardized ear map. A Mann-Whitney-U test and Spearman's correlation were used for statistical analysis. Results: A total of 94 neonates were enrolled across both trials. EAP were detectable in all healthy and sick neonates. In the blinded trial, sick neonates had a significantly higher number of active EAP than did healthy neonates. Conclusions: A notable difference in the number of active EAP was detected between healthy and sick neonates. More trials with larger sample sizes are needed to confirm the diagnostic power of EAP in neonates.",No,No,No,No,No,No,No,No,No,No,No,No
#3242,Evaluating acupuncture and standard care for pregnant women with back pain: the EASE Back pilot randomised controlled trial (ISRCTN49955124),"BACKGROUND: Low back pain (LBP) and pelvic girdle pain (PGP) during pregnancy are common and often accepted as a 'normal' part of pregnancy. Many women receive little in the way of treatment, and yet pain interferes with sleep, daily activities and work and leads to increasing requests for induction of labour or elective caesarean section. The aim of this study was to assess the feasibility of a full RCT evaluating the benefit of acupuncture for pregnancy-related back pain. METHODS: This study is a single-centre, three-arm pilot RCT in one large maternity unit and associated antenatal and physiotherapy clinics. Women were eligible if they had pregnancy-related LBP with or without PGP. Exclusions included a history of miscarriage, high risk of early labour or pre-eclampsia, PGP only and previous acupuncture. Interventions were standard care (SC): a self-management booklet with physiotherapy if needed. SC+TA: the booklet and physiotherapy comprising true (penetrating) acupuncture, advice and exercise. SC+NPA: the booklet and physiotherapy comprising non-penetrating acupuncture, advice and exercise. Remote telephone randomisation used a 1:1:1 allocation ratio stratified by gestational weeks. Three measures of pain/function were compared to inform the primary outcome measure in a full RCT: the Pelvic Girdle Questionnaire (PGQ), Oswestry Disability Index (ODI) and 11-point 0-10 numerical rating scale for pain. Analysis focused on process evaluation of recruitment, retention, descriptive information on outcomes, adherence to treatment, occurrence of adverse events and impact of physiotherapist training. RESULTS: One hundred twenty-five women were randomised (45% of those eligible) between April and October 2013; 73% (n = 91) provided 8-week follow-up data. Three of six recruitment methods accounted for 82% of total uptake: screening questionnaire at the 20-week scan, community midwives issuing study cards, and self-referral following local awareness initiatives. Physiotherapists' self-confidence on managing pregnancy-related LBP improved post training. The PGQ is suitable as the primary outcome in a full trial. The average number of treatment sessions in both SC+TA and SC+NPA was six (in line with treatment protocols). No serious adverse events attributable to the trial treatments were reported. CONCLUSIONS: A full RCT is feasible and would provide evidence about the effectiveness of acupuncture and inform treatment choices for women with pregnancy-related LBP. TRIAL REGISTRATION: ISRCTN49955124.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
#3251,"Effects of electroacupuncture frequencies on chronic low back pain in older adults: triple-blind, 12-months protocol for a randomized controlled trial","BACKGROUND: Low back pain (LBP) is the most frequent complaint in clinical practice. Electroacupuncture treatment may be effective; however, the supporting evidence is still limited, especially in older adults. OBJECTIVE: The current study is a randomized controlled trial that aims to evaluate the clinical efficacy of electroacupuncture in older adults with LBP. METHODS: A five-arm randomized controlled trial with patients and evaluators blinded to the group allocation. A total of 125 participants with non-specific LBP will be randomly assigned into one of five groups: three electroacupuncture groups (low, high, and alternating frequency); one control group; and one placebo group. The electroacupuncture will be applied twice a week (30 min per session) for five weeks. The primary clinical outcome measure will be pain intensity. The secondary outcomes include: quality of pain; physical functioning; perceived overall effect; emotional functionality; patient satisfaction; and psychosocial factors. Patients will be evaluated before the first session, immediately after the last, and followed up after six and 12 months to check the medium- and long-term effects. DISCUSSION: Although electroacupuncture is increasingly used to treat LBP, there is no guidance regarding the parameters used, which leads to inconsistent results. Thus, the effect of electroacupuncture (EA) on LBP remains controversial and requires more studies, especially in the older adult population. CONCLUSION: This is the first randomized controlled trial to evaluate the efficacy of different frequencies of electroacupuncture for treating chronic LBP in older adults. This study will provide evidence on the effectiveness of electroacupuncture as an alternative treatment method for LBP and will entail wider debate about an appropriate acupuncture intervention in this population. TRIAL REGISTRATION: Clinicaltrials.gov, NCT03802045. Registered on 14 January 2019.",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
#3264,Meta-analysis: acupuncture for low back pain,"BACKGROUND: Low back pain limits activity and is the second most frequent reason for physician visits. Previous research shows widespread use of acupuncture for low back pain. PURPOSE: To assess acupuncture's effectiveness for treating low back pain. DATA SOURCES: Randomized, controlled trials were identified through searches of MEDLINE, Cochrane Central, EMBASE, AMED, CINAHL, CISCOM, and GERA databases through August 2004. Additional data sources included previous reviews and personal contacts with colleagues. STUDY SELECTION: Randomized, controlled trials comparing needle acupuncture with sham acupuncture, other sham treatments, no additional treatment, or another active treatment for patients with low back pain. DATA EXTRACTION: Data were dually extracted for the outcomes of pain, functional status, overall improvement, return to work, and analgesic consumption. In addition, study quality was assessed. DATA SYNTHESIS: The 33 randomized, controlled trials that met inclusion criteria were subgrouped according to acute or chronic pain, style of acupuncture, and type of control group used. The principal [correction] measure of effect size was the standardized mean difference, since the trials assessed the same outcome but measured it in various ways. For the primary outcome of short-term relief of chronic pain, the meta-analyses showed that acupuncture is significantly more effective than sham treatment (standardized mean difference, 0.54 [95% CI, 0.35 to 0.73]; 7 trials) and no additional treatment (standardized mean difference, 0.69 [CI, 0.40 to 0.98]; 8 trials). For patients with acute low back pain, data are sparse and inconclusive. Data are also insufficient for drawing conclusions about acupuncture's short-term effectiveness compared with most other therapies. LIMITATIONS: The quantity and quality of the included trials varied. CONCLUSIONS: Acupuncture effectively relieves chronic low back pain. No evidence suggests that acupuncture is more effective than other active therapies.",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
#3270,Massage for low-back pain,"BACKGROUND: Low-back pain is one of the most common and costly musculoskeletal problems in modern society. Proponents of massage therapy claim it can minimize pain and disability, and speed return to normal function. OBJECTIVES: To assess the effects of massage therapy for non-specific low-back pain. SEARCH STRATEGY: We searched MEDLINE, EMBASE, CINAHL from their beginning to May 2008. We also searched the Cochrane Central Register of Controlled Trials (The Cochrane Library 2006, issue 3), HealthSTAR and Dissertation abstracts up to 2006. There were no language restrictions. References in the included studies and in reviews of the literature were screened. SELECTION CRITERIA: The studies had to be randomized or quasi-randomized trials investigating the use of any type of massage (using the hands or a mechanical device) as a treatment for non-specific low-back pain. DATA COLLECTION AND ANALYSIS: Two review authors selected the studies, assessed the risk of bias using the criteria recommended by the Cochrane Back Review Group, and extracted the data using standardized forms. Both qualitative and meta-analyses were performed. MAIN RESULTS: Thirteen randomized trials were included. Eight had a high risk and five had a low risk of bias. One study was published in German and the rest in English. Massage was compared to an inert therapy (sham treatment) in two studies that showed that massage was superior for pain and function on both short and long-term follow-ups. In eight studies, massage was compared to other active treatments. They showed that massage was similar to exercises, and massage was superior to joint mobilization, relaxation therapy, physical therapy, acupuncture and self-care education. One study showed that reflexology on the feet had no effect on pain and functioning. The beneficial effects of massage in patients with chronic low-back pain lasted at least one year after the end of the treatment. Two studies compared two different techniques of massage. One concluded that acupuncture massage produces better results than classic (Swedish) massage and another concluded that Thai massage produces similar results to classic (Swedish) massage. AUTHORS' CONCLUSIONS: Massage might be beneficial for patients with subacute and chronic non-specific low-back pain, especially when combined with exercises and education. The evidence suggests that acupuncture massage is more effective than classic massage, but this need confirmation. More studies are needed to confirm these conclusions, to assess the impact of massage on return-to-work, and to determine cost-effectiveness of massage as an intervention for low-back pain.",No,No,No,No,No,No,No,No,No,No,No,No
#3286,Effects of Shinbaro pharmacopuncture in sciatic pain patients with lumbar disc herniation: study protocol for a randomized controlled trial,"BACKGROUND: Lumbar disc herniation is a major cause of sciatica and low back pain and imposes a heavy burden on both individual and society. While use of pharmacopuncture, a combined form of acupuncture and herbal medicine, for lumbar disc herniation is widespread in Korea and China, there is a paucity of research. METHODS/DESIGN: This study is the protocol for a three-armed, randomized, patient, physician, and assessor-blinded controlled pilot study. Sixty patients with severe non-acute sciatic pain diagnosed with lumbar disc herniation (NRS ≥ 5, onset between 4 weeks and 6 months) will be recruited and randomized 20 each to the Shinbaro pharmacopuncture (pharmacopuncture with acupuncture), acupuncture, and usual care groups, respectively. The 2 acupuncture groups will receive 2 sessions/week of acupuncture alone or with pharmacopuncture for 4 weeks (total 8 sessions), and the usual care group will receive conventional medication 2-3 times/day and physical therapy 2 sessions/week over 4 weeks (total 8 sessions). The initial acupuncture physician will administer acupuncture at 5 acupoints (GB30, BL40, BL25, BL23, GB34) in the 2 acupuncture groups, and mark an additional acupoint. A second acupuncture physician will administer pharmacopuncture to the marked acupoint in the pharmacopuncture group, and acupuncture in the acupuncture group during acupuncture needle retention. The second physician will administer acupuncture and pharmacopuncture in a similar manner in terms of advice and manual stimulation to maintain patient-blinding, treat the patient out of view of the initial physician, remove the additional acupuncture needle immediately, and cover the area with adhesive bandage to maintain physician-blinding. The primary endpoint will be at 5 weeks post-randomization, and the primary outcome will be Visual Analog Scale (VAS) of sciatic pain. Secondary outcomes will be VAS of low back pain, Numeric Rating Scale (NRS) of low back pain and sciatic pain, ODI, SF-36, EQ-5D, and PGIC. Post-treatment evaluations will take place 5, 7, 9, and 12 weeks after randomization. DISCUSSION: This trial will evaluate the comparative clinical effectiveness of pharmacopuncture for severe non-acute sciatic pain patients diagnosed with lumbar disc herniation with usual care of conventional medicine and that of Korean medicine (acupuncture), monitor its safety, and serve as basis for a large-scale, multicenter trial. TRIAL REGISTRATION: ClinicalTrials.gov NCT02384928 , registered 27 February 2015.",No,No,No,No,No,No,No,No,No,No,No,No
#3290,Acupuncture for lumbar myofascial pain Protocol for a systematic review of randomized controlled trials,"BACKGROUND: Lumbar myofascial pain is a major contributor to chronic low back pain. Acupuncture has been applied as an effective treatment for chronic low back pain worldwide. However, few critical systematic reviews focus on the effect of acupuncture on chronic low back pain caused by lumbar myofascial pain have been published. The study aims to evaluate the current evidence on the efficacy of acupuncture for chronic low back pain caused by lumbar myofascial pain. METHODS: A total of 7 databases will be searched from their inception to March 2019, including PubMed, Medline, Embase, the Cochrane Central Register of Controlled Trials, the Chinese National Knowledge Infrastructure database, the Chinese Biomedical database, and the Wanfang database. Randomized controlled trials (RCTs) that compared the effect of acupuncture for lumbar myofascial pain will be included. The primary outcomes will be reduction of lumbar myofascial pain assessed by Visual Analog Scale (VAS). Secondary outcomes are questionnaires to evaluate the effects of treatment on patients' daily life activities and psychological status; and adverse events. The primary and secondary outcomes will be assessed before (0 day) treatment and at 0, 7, 30, and 90 days after treatment. Data synthesis will be computed by RevManV.5.3.5 software when a data-analysis is allowed. Methodological quality will be evaluated with the risk of bias according to Cochrane Handbook. RESULTS: The results of this study will be published in a peer-reviewed journal. CONCLUSION: The study will provide evidence to illustrate acupuncture is an effective therapeutic intervention for chronic low back pain caused by lumbar myofascial pain. TRIAL REGISTRATION NUMBER: PROSPERO CRD42019129735.",No,No,Yes,No,No,No,No,No,No,No,No,No
#3296,Examining the efficacy of treatments for arm lymphedema in breast cancer survivors: an overview of systematic reviews with meta-analyses,"BACKGROUND: Lymphedema affects one in six breast cancer survivors making it a global healthcare challenge. There is considerable debate about the efficacy of different treatments for lymphedema. We aimed to summarize the current evidence for treatments for lymphedema in breast cancer survivors. METHODS: In this overview of systematic reviews with meta-analyses (SRMAs), five databases were searched for SRMAs of randomised controlled trials (RCTs) reporting effects of medications, surgery, exercise, laser therapy, acupuncture, kinesio taping, or complex decongestive physiotherapy (CDP) for breast cancer-related lymphedema published from database inception up to March 7, 2023. Data extraction was performed for the SRMAs and RCTs, and SRMAs were appraised with AMSTAR2. Random effects meta-analyses of the RCTs provided estimates of the pooled effects sizes (Hedges' g) for each treatment modality. This study is registered with PROSPERO, CRD42020184813. FINDINGS: 1569 studies were identified by the search and eighteen SRMAs with 51 RCTs were included, investigating manual lymphatic drainage (MLD), compression pump, exercise, kinesio taping, laser, and acupuncture. Overall, the methodological quality of the SRMAs was low. SRMAs reached different conclusions for all treatment modalities, except for kinesio taping where the two SRMAs found no effect. The analysis of 40 RCTs with 1970 participants revealed a small effect across all interventions compared to any control (g = 0.20, p = 0.047, I(2) = 0.79), corresponding to volume reductions of 119.7 ml (95% CI 135-104) and 88.0 ml (95% CI 99-77) in the intervention and control groups, respectively, and a small effect of exercise (g = 0.26, p = 0.022, I(2) = 0.44). The between-group differences in volume reduction were small and did not reach statistical significance for any one treatment modality. INTERPRETATION: Based on the available data, there is no evidence of superiority of any one treatment on volume reduction nor any solid research refuting these treatments. Thus, definitive conclusions to inform clinical practice about the efficacy of these treatments cannot be drawn. Due to poor-quality evidence, more research is needed to untangle the efficacy of each treatment component for different stages of lymphedema. FUNDING: Danish Cancer Society.",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
#3310,Acupuncture in critically ill patients improves delayed gastric emptying: a randomized controlled trial,"BACKGROUND: Malnutrition remains a severe problem in the recovery of critically ill patients and leads to increased in-hospital morbidity and in-hospital stay. Even though early enteral nutrition has been shown to improve overall patient outcomes in the intensive care unit (ICU), tubefeed administration is often complicated by delayed gastric emptying and gastroesophageal reflux. Acupuncture has been successfully used in the treatment and prevention of perioperative nausea and vomiting. In this study we evaluated whether acupuncture can improve gastric emptying in comparison with standard promotility drugs in critically ill patients receiving enteral feeding. METHODS: Thirty mechanically ventilated neurosurgical ICU patients with delayed gastric emptying, defined as a gastric residual volume (GRV) >500 mL for ≥ 2 days, were prospectively and randomly assigned to either the acupoint stimulation group (ASG; bilateral transcutaneous electrical acupoint stimulation at Neiguan, PC-6) or the conventional promotility drug treatment group (DTG) over a period of 6 days (metoclopramide, cisapride, erythromycin). Patients in the ASG group did not receive any conventional promotility drugs. Successful treatment (feeding tolerance) was defined as GRV <200 mL per 24 hours. RESULTS: Demographic and hemodynamic data were similar in both groups. After 5 days of treatment, 80% of patients in the ASG group successfully developed feeding tolerance versus 60% in the DTG group. On treatment day 1, GRV decreased from 970 ± 87 mL to 346 ± 71 mL with acupoint stimulation (P = 0.003), whereas patients in the DTG group showed a significant increase in GRV from 903 ± 60 mL to 1040 ± 211 mL (P = 0.015). In addition, GRV decreased and feeding balance (defined as enteral feeding volume minus GRV) increased in more patients in the ASG group (14 of 15) than in the DTG group (7 of 15; P = 0.014). On treatment day 1, the mean feeding balance was significantly higher in the ASG group (121 ± 128 mL) than in the DTG group (-727 ± 259 mL) (P = 0.005). Overall, the feeding balance improved significantly on all days of treatment in comparison with the DTG group. Patients in the DTG group did not show an increase in feeding balance until day 6. CONCLUSIONS: We introduce a new protocol for acupuncture administration in the critical care setting. We demonstrated that this protocol was more effective than standard promotility medication in the treatment of delayed gastric emptying in critically ill patients. Acupoint stimulation at Neiguan (PC-6) may be a convenient and inexpensive option (with few side effects) for the prevention and treatment of malnutrition in critically ill patients.",Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
