id,title,abstract
#3207,Research on electroacupuncture parameters for knee osteoarthritis based on data mining,"BACKGROUND: Knee osteoarthritis, a common degenerative joint disease, has been widely treated by electroacupuncture in recent years. However, there are too many parameters of the treatment currently, resulting in various applications in clinical practice. This study aims to summarize the optimal stimulation parameters of electroacupuncture for knee osteoarthritis in clinical studies by applying data mining techniques. METHODS: Four databases including Pubmed, Cochrane Library, Embase, and Web of Science were searched for clinical studies on electroacupuncture treating knee osteoarthritis from 2012 to 2021. A database was established by Microsoft Excel 2020 and analyzed by R Version 4.1.1. RESULTS: Forty-six articles were included according to the established criteria. The most used electroacupuncture stimulation parameters were 0.30 mm × 40 mm needle, continuous wave, low frequency of current (mainly 2 Hz), stimulation duration for 30 min per treatment, and frequency of treatment for once a day. Eighteen acupoints were mentioned and the most used ones include Dubi (ST35), Liangqiu (ST34), Neixiyan (EX-LE4), Xuehai (SP10), Yanglingquan (GB34), and Yinlingquan (SP9), and those most generally used acupoints are closely arranged on the Stomach Channel of Foot Yangming. Cluster analysis showed two groups, one for obligatory acupoints and one for adjunctive ones. The association analysis showed the most supported acupoint pair was Liangqiu (ST34) and Xuehai (SP10). CONCLUSIONS: Continuous wave, low frequency of current (2 Hz), 30-min stimulation, and local acupoint selection are frequently used for electroacupuncture treating knee osteoarthritis. Due to the limitations of this study, further research and more standardized, multi-centered, and large-sample clinical trials should be conducted to provide more convincing evidence."
#3230,Acupuncture reduces peripheral and brainstem cytokines in rats subjected to lipopolysaccharide-induced inflammation,"BACKGROUND: Lipopolysaccharide (LPS) endotoxins are activators of innate immunity inducing infection and inflammatory responses. Anti-inflammatory drugs can have undesirable side effects. Acupuncture may be an alternative for the treatment of inflammatory processes. OBJECTIVE: We investigated the potential anti-inflammatory effect of manual acupuncture (MA) at SP6 upon LPS-induced peritonitis in rats. METHODS: Peritonitis was induced in rats with an intraperitoneal injection of LPS (0.002, 0.02, 0.2 or 2 µg/kg) in four experimental groups (n = 6 each). A fifth group was injected with sterile saline solution (saline group, n = 6). Four hours after the procedure, peritoneal fluid was collected to determine total cell counts for inflammatory cells, differential leukocyte counts and peritoneal capillary permeability. The LPS dose of 0.02 µg/kg was used in the subsequent experiments as it most successfully induced peritoneal inflammation. Subsequently, five experimental groups (n = 12 rats each) were used: (1) saline, (2) control (untreated LPS group), (3) indomethacin (LPS group treated with indomethacin), (4) NA (LPS group treated with MA at a location not corresponding to any traditional acupuncture point), and (5) SP6 (LPS group treated with verum MA at SP6). Ten minutes after MA or 30 min after indomethacin treatment, the rats received an intraperitoneal injection of LPS. After 4 h, total leukocyte and differential cell counts, myeloperoxidase (MPO) activity, vascular permeability and cytokine levels were evaluated in the peritoneal fluid. Cytokine levels were additionally evaluated in the brainstem. RESULTS: SP6 MA and indomethacin treatments reduced inflammatory cell infiltration, vascular permeability and MPO activity in the LPS-exposed rats. Pre-treatment with indomethacin and SP6 MA decreased tumor necrosis factor (TNF)-α levels and preserved interleukin (IL)-10 in the peritoneal fluid. Indomethacin also reduced IL-6 in the peritoneal fluid. In the brainstem, indomethacin reduced IL-1β, IL-6, TNFα and IL-10, whereas SP6 MA reduced only TNFα and IL-6 levels. CONCLUSIONS: This study clearly demonstrates the anti-inflammatory effect of acupuncture, which we believe may involve the activation of anti-inflammatory neural reflexes in the regulation of peritonitis."
#3358,Type and frequency of side effects during PC6 acupuncture: observations from therapists and patients participating in clinical efficacy trials of acupuncture,"BACKGROUND: Many therapists practise PC6 acupuncture for emesis (nausea and vomiting) during pregnancy, different cancer therapies, palliative care, after surgery, or to induce relaxing effects in general. Knowledge of side effects is central to shared decision-making. AIM: To describe the type and frequency of side effects and the level of needle-induced pain during PC6 acupuncture. METHODS: We included 1298 PC6 acupuncture treatments, delivered to 221 participants (77% women, mean age 52.5, range 18-91 years). The subjects had received genuine PC6 acupuncture, in one of two previous randomised controlled trials, aimed at inducing antiemetic (n=100, with 100 providing data on side effects and 94 on needle-induced pain, respectively) or relaxing (n=121, with 120 providing data) effects. Side effects during and after the acupuncture treatments were registered in structured treatment protocols and study diaries. RESULTS: No serious complications occurred. Side effects during the acupuncture sessions included minor bleeding in 5.0%, tiredness in 4.9%, numbness in 4.5% and dizziness in 1.4% of the 1298 treatments. After treatment, the mean proportions of participants reporting side effects each week were: tiredness 25.8%; feeling cold 17.8%; dizziness 9.7%; sweating 9.3%; haematoma 8.8%; and soreness at the needling sites 4.3%. Participants perceived the needling to be not painful (47.4% of participants), or mildly (39.1%), moderately (11.6%) or very painful (1.4%). CONCLUSIONS: Few side effects occurred and those that did were mild. Nearly 90% found PC6 acupuncture to be not painful or only mildly painful. Healthcare professionals may consider the observed levels of side effects when informing patients about side effects of PC6 acupuncture."
#3371,Acupuncture for 'frequent attenders' with medically unexplained symptoms: a randomised controlled trial (CACTUS study),"BACKGROUND: Medically unexplained physical symptoms (MUPS) are common and difficult to treat. AIM: To investigate the effectiveness of adding five-element acupuncture to usual care in 'frequent attenders' with MUPS. DESIGN AND SETTING: Randomised controlled trial in four London general practices. METHOD: Participants were 80 adults with MUPS, consulting GPs ≥8 times/year. The intervention was individualised five-element acupuncture, ≥12 sessions, immediately (acupuncture group) and after 26 weeks (control group). The primary outcome was 26-week Measure Yourself Medical Outcome Profile (MYMOP); secondary outcomes were wellbeing (W-BQ12), EQ-5D, and GP consultation rate. Intention-to-treat analysis was used, adjusting for baseline outcomes. RESULTS: Participants (80% female, mean age 50 years, mixed ethnicity) had high health-resource use. Problems were 59% musculoskeletal; 65% >1 year duration. The 26-week questionnaire response rate was 89%. Compared to baseline, the mean 26-week MYMOP improved by 1.0 (95% confidence interval [CI] = 0.4 to 1.5) in the acupuncture group and 0.6 (95% CI = 0.3 to 0.9) in the control group (adjusted mean difference: acupuncture versus control -0.6 [95% CI = -1.1 to 0] P = 0.05). Other between-group adjusted mean differences were: W-BQ12 4.4 (95% CI = 1.6 to 7.2) P = 0.002; EQ-5D index 0.03 (95% CI = -0.11 to 0.16) P = 0.70; consultation rate ratio 0.90 (95% CI = 0.70 to 1.15) P = 0.4; and number of medications 0.56 (95% CI = 0.47 to 1.6) P = 0.28. All differences favoured the acupuncture group. Imputation for missing values reduced the MYMOP adjusted mean difference to -0.4 (95% CI = -0.9 to 0.1) P = 0.12. Improvements in MYMOP and W-BQ12 were maintained at 52 weeks. CONCLUSION: The addition of 12 sessions of five-element acupuncture to usual care resulted in improved health status and wellbeing that was sustained for 12 months."
#3462,Moxibustion inhibits inflammation in monosodium urate crystal-induced gouty arthritis model rats through metabolomic regulation,"BACKGROUND: Moxibustion is a form of therapy that to warm the acupoints located skin by using dried mugwort leaves. It is widely used to treat gouty arthritis (GA). However, the mechanism of moxibustion on improving GA has not been fully revealed. In this study, we explore the mechanism of moxibustion on GA via metabolomics combined with traditional Chinese medicine (TCM) theory. METHODS: Three days before model induction, the rats of moxibustion groups were treated with moxibustion in the ST36 and SP6, and then, a GA rat model induced by monosodium urate (MSU) was established. Biological samples, including joint synovial tissue and serum samples, were collected and measured by histopathological staining, molecular biology assays and liquid chromatography-mass spectrometry (LC-MS)-based metabolomics. RESULTS: We found that moxibustion could reduce the ankle edema induced by MSU crystals, decrease the expression of related proinflammatory genes, decrease the levels of serum IL-18 and IL-1β, and restore the metabolism of glycerol phospholipids, niacin and nicotinamide in GA model rats. CONCLUSION: Moxibustion can regulate the metabolism of GA model rats widely to inhibit inflammation. Our research deepens our understanding of the complex mechanisms of moxibustion and promotes the application of moxibustion in the clinical practice."
#3464,Moxibustion for hypertension: a systematic review,"BACKGROUND: Moxibustion is a traditional East Asian medical therapy that uses the heat generated by burning herbal preparations containing Artemisia vulgaris to stimulate acupuncture points. The aim of this review was to evaluate previously published clinical evidence for the use of moxibustion as a treatment for hypertension. METHODS: We searched 15 databases without language restrictions from their respective dates of inception until March 2010. We included randomized controlled trials (RCTs) comparing moxibustion to either antihypertensive drugs or no treatment. The risk of bias was assessed for each RCT. RESULTS: During the course of our search, we identified 519 relevant articles. A total of 4 RCTs met all the inclusion criteria, two of which failed to report favorable effects of moxibustion on blood pressure (BP) compared to the control (antihypertensive drug treatment alone). However, a third RCT showed significant effects of moxibustion as an adjunct treatment to antihypertensive drug therapy for lowering BP compared to antihypertensive drug therapy alone. The fourth RCT included in this review addressed the immediate BP-lowering effects of moxibustion compared to no treatment. None of the included RCTs reported the sequence generation, allocation concealment and evaluator blinding. CONCLUSION: There is insufficient evidence to suggest that moxibustion is an effective treatment for hypertension. Rigorously designed trials are warranted to answer the many remaining questions."
#3468,Metabolomic analysis of biochemical changes in the tissue and urine of proteoglycan-induced spondylitis in mice after treatment with moxibustion,"BACKGROUND: Moxibustion is widely used in East Asian countries to manage the symptom of rheumatic diseases. The aim of this study was to identify potential metabolic profiles of moxibustion on relieving ankylosing spondylitis (AS) mice through UHPLC-Q-TOF/MS metabolomic study. METHODS: Thirty-two female Balb/c mice were randomized into healthy control (HC), AS model, moxibustion at acupuncture points (MA) in AS model, and moxibustion at non-acupuncture points (MNA) AS model groups. Moxibustion was administered daily at GV4, bilateral BL23 and bilateral ST36 acupuncture points for four weeks in the MA group. The overall health status, the thickness of hind paws and the tissue concentrations of IL-1β, PGE(2), IL-6 and TNF-α were assessed. The UHPLC-Q-TOF/MS was used to explore the perturbations of endogenous metabolites in tissue and urine of AS model mice intervened by moxibustion. RESULTS: Compared with the AS group, the overall health status was significantly improved after 4-week moxibustion intervention (p < 0.05). The results also showed that MA significantly reduced the levels of paw thickness and decreased the levels of four cytokines in the tissue (p < 0.01). Thirty-seven endogenous metabolites identified by the OPLS-DA were considered to be contributing to therapeutic effects of moxibustion. Moreover, metabolic pathway analysis further revealed that the identified metabolites were mainly involved in TCA cycle, Lipid metabolism, Amino Acid metabolism, Intestinal flora metabolism and Purine metabolism. CONCLUSIONS: UHPLC-Q-TOF/MS based metabolomics approach, as a novel and powerful tool, can help us to gain the insights into potential mechanisms of action of moxibustion for AS."
#3501,Buccal acupuncture combined with ultrasound-guided dry needle-evoked inactivation of trigger points to treat cervical and shoulder girdle myofascial pain syndrome,"BACKGROUND: Myofascial pain syndrome (MPS) is a common disease with easy persistence and recurrence. In clinical practice, although many methods have been adopted to prevent and treat MPS, the control of MPS is still not satisfactory. OBJECTIVE: To compare the safety and effectiveness of buccal acupuncture, inactivation of trigger points (MTrPs), and their combination in the treatment of MPS. METHODS: Two hundred MPS patients in the pain clinic were randomly divided into four groups (n= 50) to receive oral drugs (Group A), oral drugs + buccal needle (Group B), oral drugs + MTrP inactivation (Group C), or oral drugs + buccal needle + MTrP inactivation (Group D). RESULTS: The visual analogue scale (VAS) and cervical range of motion (ROM) of Group D were significantly lower than those of the other three groups, and the pressure pain threshold (PPT) value of labelled MTrPs was significantly higher than those of the other three groups (P< 0.05). The excellent rate and total effective rate of Group D were significantly higher than those of the other three groups. Group C had the highest pain score and the lowest acceptance score. The results showed that buccal acupuncture combined with ultrasound-guided dry needle-evoked inactivation of MTrPs can significantly reduce the VAS score of MPS patients, improve the range of motion of the cervical spine, and improve patient satisfaction. CONCLUSIONS: This study provides a highly accepted and satisfactory treatment for MPS, which is worthy of clinical promotion."
#3581,"Cost-effectiveness analysis of acupuncture, counselling and usual care in treating patients with depression: the results of the ACUDep trial","BACKGROUND: New evidence on the clinical effectiveness of acupuncture plus usual care (acupuncture) and counselling plus usual care (counselling) for patients with depression suggests the need to investigate the health-related quality of life and costs of these treatments to understand whether they should be considered a good use of limited health resources. METHODS AND FINDINGS: The cost-effectiveness analyses are based on the Acupuncture, Counselling or Usual care for Depression (ACUDep) trial results. Statistical analyses demonstrate a difference in mean quality adjusted life years (QALYs) and suggest differences in mean costs which are mainly due to the price of the interventions. Probabilistic sensitivity analysis is used to express decision uncertainty. Acupuncture and counselling are found to have higher mean QALYs and costs than usual care. In the base case analysis acupuncture has an incremental cost-effectiveness ratio (ICER) of £4,560 per additional QALY and is cost-effective with a probability of 0.62 at a cost-effectiveness threshold of £20,000 per QALY. Counselling compared with acupuncture is more effective and more costly with an ICER of £71,757 and a probability of being cost-effective of 0.36. A scenario analysis of counselling versus usual care, excluding acupuncture as a comparator, results in an ICER of £7,935 and a probability of 0.91. CONCLUSIONS: Acupuncture is cost-effective compared with counselling or usual care alone, although the ranking of counselling and acupuncture depends on the relative cost of delivering these interventions. For patients in whom acupuncture is unavailable or perhaps inappropriate, counselling has an ICER less than most cost-effectiveness thresholds. However, further research is needed to determine the most cost-effective treatment pathways for depressed patients when the full range of available interventions is considered."
#3625,"Effect of electro-acupuncture on lateralization of the human swallowing motor cortex excitability in healthy subjects: study protocol for a single-blind, randomized controlled trial","BACKGROUND: Numerous randomized controlled trials on the effects of electro-acupuncture have been conducted to treat dysphagia as a sequela of stroke. However, the normal physiological mechanisms of swallowing and the pathological mechanisms of dysphagia are not fully understood. The purpose of this study is to investigate whether lateralization of the human swallowing motor cortex excitability in healthy subjects will be influenced by electro-acupuncture to Lianquan (CV 23) and Fengfu (GV 16), which may provide insight into the pathological mechanisms of dysphagia after stroke. METHODS: We designed a single-blind, randomized, sham-controlled trial in which 40 healthy subjects will be recruited. Subjects will be randomized 1:1 into two groups: the electro-acupuncture group and the sham-control electro-acupuncture group. The swallowing motor cortex will be located in both groups using a neuroimaging navigation system. Then left and right cortical stimulation will be measured by transcranial magnetic stimulation (TMS) before and after electro-acupuncture or sham electro-acupuncture. The electro-acupuncture or sham electro-acupuncture interventions will last for 15 min. The primary outcome measure will be percent change in the resting motor threshold (RMT) of the mylohyoid. The secondary outcome measures will be the amplitude (μV) and latency (ms) of the motor evoked potential (MEP) of the mylohyoid as a proxy for the TMS evoked potential. All outcomes will be measured at baseline and after the electro-acupuncture or sham electro-acupuncture treatment. DISCUSSION: The aim of this trial is to explore whether lateralization of the human swallowing motor cortex excitability in healthy subjects is present, and to determine if electro-acupuncture to acupuncture points Lianquan (CV 23) and Fengfu (GV 16) will exert an effect on it under normal physiological conditions. TRIAL REGISTRATION: Chinese Clinical Trial Registry, ChiCTR-IOR-17011359 . Registered on 11 May 2017."
#3783,Acupuncture and sleep disorders in Parkinson's disease: A systematic evaluation with meta-analysis,"BACKGROUND: Parkinson's disease (PD) patients commonly suffer from sleep disorders, significantly impacting their quality of life. Western treatments often entail adverse effects, while acupuncture (ACU) presents a safe, nonaddictive alternative. METHODS: A thorough literature search was performed across PubMed, Cochrane Library, and Embase databases. Eligible studies underwent statistical analysis via RevMan 5.4 software. RESULTS: This study synthesized data from 19 randomized controlled trials involving 1300 patients. The ACU cohort showed notable improvement in Parkinson's disease sleep scale (PDSS) scores (mean difference [MD] = 10.81, 95% confidence interval [CI]: 5.64, 15.98) relative to controls. Subgroup analysis revealed significance for ACU treatments beyond 6 weeks (MD = 15.39, 95% CI: 11.70, 19.09) but not for those 6 weeks or shorter (MD = 3.51, 95% CI: -1.20, 8.23). Notably, electroacupuncture resulted in significant PDSS score enhancements (MD = 12.39, 95% CI: 6.06, 18.71), with sensitivity analysis verifying result stability. However, without electroacupuncture, PDSS score differences were insignificant (MD = 7.83, 95% CI: -2.33, 17.99) and had lower result stability. Additionally, increased ACU session frequency may yield better improvements in PDSS scores. The ACU group also observed Improved Pittsburgh Sleep Quality Index scores (MD = -4.52, 95% CI: -6.36, -2.67). However, no significant variation was identified in Epworth Sleepiness Scale score improvement between groups (MD = -0.90, 95% CI: -3.67, 1.88). CONCLUSION: ACU therapy effectively improves nighttime sleep quality in PD patients. A treatment duration extending beyond 6 weeks is highly recommended. Additionally, increasing the frequency of ACU sessions and incorporating electroacupuncture in the treatment regimen may be essential for optimal results."
#3799,"Immediate effects of microsystem acupuncture in patients with oromyofacial pain and craniomandibular disorders (CMD): a double-blind, placebo-controlled trial","BACKGROUND: Patients presenting with oromyofacial disorders and pain in the head and neck area are often resistant to conventional therapy. Acupuncture has been shown to be effective in pain reduction. METHODS: Twenty-three patients with craniomandibular disorders, headache and, in particular, local pain in the orofacial, cervical and temporomandibular joint areas were randomised into acupuncture or placebo laser therapy groups. Pain was assessed by a visual analogue scale (VAS) and by palpation of 14 muscles and groups of muscles immediately before and after treatment, the assessor being blinded to the patients' allocation. Applicable acupuncture points were searched and pricked using the 'very-point' technique. FINDINGS: Pain reduction measured by VAS was significantly more pronounced after acupuncture than after placebo treatment (p=0.031). Sum of pain scores across 14 muscles was considerably more reduced after acupuncture as compared to sham laser treatment. INTERPRETATION: Acupuncture may bring about immediate pain relief in patients with oromyofacial disorders, increasing the chance to initiate other therapeutic measures."
#3809,"Acupuncture and osteopathic medicine for atopic dermatitis: a three-armed, randomized controlled explorative clinical trial","BACKGROUND: Patients with atopic dermatitis (AD) frequently use acupuncture (ACU) and osteopathic medicine (OM), although their therapeutic benefits are unclear. AIM: To investigate the effectiveness of ACU and OM in patients with AD. METHODS: In a three-armed, single-centre, randomized controlled open explorative clinical trial, adult patients with AD received ACU, OM or no study intervention (control group; CG) plus routine care. Outcomes included disease severity (SCORing Atopic Dermatitis; SCORAD), itching intensity (visual analogue scale; VAS), frequency of topical corticosteroid (TCS) use over 7 days and cost-effectiveness. Endpoints were analysed by analysis of covariance adjusted for the respective baseline value and TCS use. RESULTS: Overall, 121 patients (92 women, 29 men) with a mean ± SD age of 31.4 ± 10.5 years were randomized. After 12 weeks, the adjusted means (95% CI) for ACU, OM and control were, respectively, 22.3 (18.3-26.3), 26.4 (22.6-30.2) and 23.7 (19.9-27.5) for SCORAD (P = 0.32); 27.9 (19.5-36.4), 35.0 (26.9-43.0) and 42.3 (34.7-50.0) for VAS itching (P < 0.05); and 2.3 (0.8-3.9), 1.9 (0.4-3.5) and 4.3 (2.6-6.0), for TCS use (P = 0.10). ACU and OM were not cost-effective compared with the CG. CONCLUSION: Although no differences in disease severity were found, our findings indicate that ACU might reduce itching in patients with AD. Furthermore, ACU and OM showed a trend towards reducing TCS use."
#3814,"A randomized, controlled clinical trial of acupoint catgut embedding as an effective control of functional anorectal pain","BACKGROUND: Patients with functional anorectal pain (FAP) usually feel pain in the anal region, foreign body sensation, and defecation disorders. The pain may radiate to the perineum, thighs, and waist. Conventional biofeedback, local nerve block and surgical treatment have certain limitations. Thread-embedding acupuncture (TEA) is a complementary and alternative therapy, which is widely used in the clinical practice of traditional Chinese medicine to treat functional anorectal pain. This study evaluated the efficacy and safety of the catgut-embedding acupuncture in patients with FAP. METHODS: FAP patients were enrolled and randomly divided into a thread-embedding acupuncture group (n = 35) and a sham-embedding acupuncture control group (n = 36). Patients underwent treatment twice monthly for 2 months and were assessed before and after treatments for visual analogue scales (VAS) of anorectal pain, VAS of lumbar pain or soreness, VAS of abdominal distension or pain, anal incontinence index, and SF-36 quality of life. The SF-36 quality of life score included assessment of physical functioning, role-physical, bodily-pain, general health, role-emotional, social functioning, vitality, and mental health. RESULT: The total effective rate was 85.71% for the treatment group versus 8.33% of the controls after 2 months (P < .001). The patients' anal rectum VAS score was significantly higher after treatment versus pretreatment (P < .01), while the physical functioning, role-physical, bodily-pain, role-emotional, and mental health in the experimental group and the role-emotional, and mental health in the control group were all significantly improved versus pretreatment (P < .05). The anorectal VAS score, anal incontinence index, and the SF-36 scores of the physical functioning, role-physical, bodily-pain, role-emotional, and mental health were better in the treatment group compared to the control group (P < .05). Most importantly, there were no adverse reactions observed in either group during the treatment. CONCLUSION: The thread-embedding acupuncture treatment effectively and safely improved the emotional anxiety and quality of life in FAP patients."
#3833,Auricular laser acupuncture as an adjunct for parental anxiety management during children's surgery: A randomized-controlled study,"BACKGROUND: Pediatric surgery is associated with high levels of anxiety for both children and parents/caregivers. To mitigate anxiety, auricular acupuncture has shown its potential in the perioperative setting. Accordingly, our team developed a wearable prototype auricular laser acupuncture system, AcuHealth V1.0, as a portable acupuncture device and conducted a proof-of-concept evaluation with parents of children undergoing surgery. AIMS: The primary aim of this study was to conduct feasibility testing of the AcuHealth V1.0 system in delivering auricular laser acupuncture. METHODS: Parents of children who were scheduled to undergo outpatient surgery were randomly assigned to one of three groups: authentic acupuncture (laser beams at known anxiolytic acupoints, n = 13), sham acupuncture (non-anxiolytic acupoints, n = 14), or a placebo control group (inactive laser, n = 14). Parent self-reported anxiety (0-10 numerical rating scale) was assessed at baseline, pre-intervention (once child was taken to the OR), post-intervention, and at 30 min after the intervention. Usability and acceptability data regarding the device were assessed after the intervention. RESULTS: Baseline data revealed no significant difference in anxiety between the three groups. Parent-reported anxiety level at 30-min post-intervention as compared to baseline in the authentic group was significantly decreased (delta mean ± std = -3.58 ± 2.07) compared to both the sham acupuncture (-1.35 ± 2.65) and placebo control group (0.54 ± 1.13). Evaluation of changes in parent-reported anxiety between groups over time using two-way repeated-measures analysis of variance (ANOVA) revealed a significant difference between the three groups (p = 0.001). Post hoc analysis with Scheffe test pairwise comparisons showed that at 30-min post-intervention compared to baseline, the authentic intervention group was significantly less anxious compared with both the sham group (p = 0.033) and the placebo control group (p = 0.001). Additionally, feedback regarding the usage of the device supported the acceptability and usability of the device with no adverse events. CONCLUSIONS: This pilot study administering laser auricular acupuncture via the AcuHealth V1.0 system decreased parental anxiety after 30 min in parents who received treatment immediately after their children were taken to the operating room with no adverse effect."
#3853,Effect of acupuncture and its influence on cerebral activity in perimenopausal insomniacs: study protocol for a randomized controlled trial,"BACKGROUND: Perimenopausal insomnia is one of the core symptoms of the menopausal transition. Acupuncture is considered to exert a positive effect on restoring the normal sleep-wake cycle. However, there is little intuitive evidence besides evaluation using clinical effectiveness scales. We therefore designed this study, aiming to use more intuitive and reliable detection techniques such as functional magnetic resonance imaging before and after applying acupuncture to provide neuroimaging evidence, as well as to verify the effectiveness with other curative effect indicators. METHODS/DESIGN: This study is a randomized, assessor-statistician-blinded, positive medicine controlled trial involving 40 participants. A total of 40 eligible patients with perimenopausal insomnia will be randomly assigned to two groups in a 1:1 ratio as an intervention group using acupuncture and a control group taking estazolam. Participants in the intervention group will receive six acupuncture treatment sessions per week for 4 consecutive weeks, for a total of 24 sessions during the study. Meanwhile, the medicine control group will be prescribed estazolam 1-2 mg/day to be taken 30 minutes before sleep for 4 weeks. The primary outcome is the Pittsburgh Sleep Quality Index. Secondary outcomes are the micro-movement sensitive mattress-type sleep monitoring system, the Hamilton Depression Scale, and the Hamilton Anxiety Scale. All outcomes will be evaluated before and after treatment. The safety of interventions will be assessed at every visit. DISCUSSION: The results of this trial, which will be available in 2018, will investigate the impact of acupuncture treating perimenopausal insomnia from assessment of the sleep architecture, hormone level, and emotional-circuit neurological function, and will uncover the effective mechanism of acupuncture regulating the emotional center integrated effect. TRIAL REGISTRATION: Chinese Clinical Trials Register, ChCTR-IPC-16007832 . Registered on 26 January 2016."
#3937,Acupuncture for the Postcholecystectomy Syndrome: A Systematic Review and Meta-Analysis,"BACKGROUND: Postcholecystectomy syndrome (PCS) has become a common postoperative syndrome that requires systematic and comprehensive therapy to achieve adequate clinical control. Acupuncture and related therapies have shown clinical effects for PCS in many studies. However, systematic reviews/meta-analyses (SRs/MAs) for them are lacking. OBJECTIVE: To evaluate the efficacy and safety of acupuncture in the treatment of PCS using randomized controlled trials (RCTs). METHODS: Potentially eligible studies were searched in the following electronic databases up to 1 February 2020: PubMed, Embase, Cochrane Library, Web of Science (WoS), Chinese databases (Chinese Biomedical Literature Database (CBM), China National Knowledge Infrastructure (CNKI), WanFang Database (WF), and China Science and Technology Journal Database (VIP)), and other sources (WHO ICTRP, ChiCTR, Clinical Trials, and Grey Literature Database). The RevMan 5.3 was employed for analyses. The Cochrane Collaboration' risk of bias tool was used to assess the risk of bias (ROB). The Grading of Recommendations Assessment, Development, and Evaluation (GRADE) approach was used to assess the quality of the evidence. RESULTS: A total of 14 RCTs with 1593 participants were included in this SR. MA showed that acupuncture in combination with conventional medicine (CM) did not show statistical differences in reduction in pain. However, acupuncture in combination with CM significantly reduced the incidence of postoperative nausea and vomiting (PONV) (RR, 0.71; 95% CI, 0.55-0.92) and improved gastrointestinal function recovery compared to the CM group. Acupuncture combined with traditional Chinese medicine and CM, and acupuncture as monotherapy may improve gastrointestinal function recovery with acceptable adverse events. CONCLUSION: Acupuncture may be an effective and safe treatment for PCS. However, this study lacks conclusive evidence due to poor quality evidence, limited data, and clinical heterogeneity of acupuncture methods in the included studies."
#3949,The Effect of Acupoint Sticking Therapy on Serum Estrogen Levels and Endometrial Polyp Tissue Receptor Expression in Postmenopausal Patients With Endometrial Polyps,"BACKGROUND: Postmenopausal women with endometrial polyps (EPs) often experience hormonal imbalances. Acupoint application, a traditional Chinese medicine (TCM) approach, shows the potential to influence hormonal levels. This study investigated the impact of acupoint application on hormone levels and receptors in postmenopausal women with EP, comparing its efficacy and safety to surgery. METHODS: We conducted a retrospective analysis of 170 postmenopausal patients with EP. Eighty-four patients received surgery alone, while 86 received surgery combined with acupoint application. Hormone levels, hormone receptor expression, TCM symptom scores, and adverse effects were compared between the two groups. RESULTS: The acupoint application group demonstrated a significantly higher total effective rate than the control group (p < 0.05). After treatment, the acupoint application group exhibited a significantly greater reduction in serum progesterone levels and vaginal pH compared to the control group (p < 0.05). Additionally, the acupoint application group showed a significant increase in endometrial estrogen receptor expression after treatment (p < 0.05). TCM symptom scores related to vaginal bleeding volume, duration, facial complexion, dry mouth, and thirst significantly improved in the acupoint application group post-treatment (p < 0.01). Furthermore, the acupoint application group demonstrated a notably lower incidence of adverse effects (including nausea, headache, breast tenderness, and dizziness) compared to the control group (p < 0.05). CONCLUSION: Our study suggests acupoint application, alongside surgery, enhances clinical outcomes, hormonal balance, and symptom relief in postmenopausal women with EPs, compared to surgery alone. Its safety and sustained benefits support its use as a complementary treatment."
#3959,Effects of preemptive acupuncture on cognitive function of older patients after hip replacement: a randomized controlled trial,"BACKGROUND: Postoperative cognitive impairment is a common complication in older patients after major orthopedic surgery; however, the underlying mechanism is not completely understood. OBJECTIVE: This study aimed to evaluate the effects of preemptive acupuncture on cognitive dysfunction after hip replacement and explore its potential mechanisms. METHODS: Finally, 54 participants were randomized into sham acupuncture (n = 27) or acupuncture (n = 27) groups, who received acupuncture at the Sishencong (EX-HN1) and Baihui (DU20) acupoints, while participants in the sham acup group received sham acup at the target acupoints. Montreal Cognitive Assessment (MoCA) and Mini-Mental State Examination (MMSE) scores, the incidence of postoperative cognitive dysfunction (POCD), and other adverse events were assessed. The levels of microRNA (miR)-124 and miR-146a and inflammatory cytokines in the peripheral blood were detected. Correlations among miR-124, miR-146a, and inflammatory cytokines were analyzed. RESULTS: Compared with the sham acup group, the MMSE and MoCA scores in the acup group on the first and seventh day after surgery were higher, and the incidence of POCD on the first day was lower. Acupuncture upregulated levels of miR-124 and -146a and decreased the levels of TNF-α, IL-6, and IL-1β to protect cognitive function. Correlation analysis indicated that upregulated miR-124 and miR-146 were associated with lower levels of inflammatory cytokines. CONCLUSION: Acupuncture protects postoperative cognitive function in older patients undergoing hip replacement, potentially reducing the incidence of POCD by upregulating miR-124 and miR-146a to inhibit neuroinflammation. CLINICAL TRIAL REGISTRATION: www.chictr.org.cn, identifier ChiCTR2200062027."
